"Occupational Employment and Wage Statistics"

"Selection Criteria Used"
"Area:","Massachusetts"
"Time Period:","May 2023"
"Occupation:"," Total, All Occupations"

"SOC Code","Occupation Title","Employment","Median Annual","Mean Annual","Entry Annual","Experienced Annual","Typical education needed for entry"
="17-3013","Mechanical Drafters","970","$65,810","$70,790","$50,010","$81,030","Associate's degree"
="17-3019","Drafters, All Other","80","$58,550","$64,210","$41,090","$75,600","Associate's degree"
="17-3022","Civil Engineering Technologists and Technicians","1,320","$64,440","$68,990","$52,100","$77,300","Associate's degree"
="17-3023","Electrical and Electronic Engineering Technologists and Technicians","3,060","$64,440","$68,660","$48,420","$78,630","Associate's degree"
="17-3024","Electro-Mechanical and Mechatronics Technologists and Technicians","1,070","$64,430","$66,340","$49,020","$74,870","Associate's degree"
="17-3025","Environmental Engineering Technologists and Technicians","450","$49,490","$57,530","$39,740","$66,300","Associate's degree"
="17-3026","Industrial Engineering Technologists and Technicians","2,610","$66,820","$70,140","$53,610","$78,290","Associate's degree"
="17-3027","Mechanical Engineering Technologists and Technicians","630","$74,430","$72,510","$53,610","$81,820","Associate's degree"
="17-3028","Calibration Technologists and Technicians","400","$63,170","$59,300","$43,250","$67,200","Associate's degree"
="17-3029","Engineering Technicians, Except Drafters, All Other","830","$66,000","$70,530","$51,250","$80,030","Associate's degree"
="17-3031","Surveying and Mapping Technicians","790","$58,200","$56,800","$40,310","$64,930","High school diploma or equivalent"
="19-0000","Life, Physical, and Social Science Occupations","72,590","$100,370","$106,000","$61,100","$128,120","No formal educational credential"
="19-1012","Food Scientists and Technologists","160","$89,370","$99,380","$67,800","$114,940","Bachelor's degree"
="19-1013","Soil and Plant Scientists","100","$58,590","$58,850","$49,260","$63,570","Bachelor's degree"
="19-1021","Biochemists and Biophysicists","11,200","$127,680","$126,720","$86,960","$146,300","Doctoral or professional degree"
="19-1022","Microbiologists","2,540","$126,160","$119,460","$86,970","$135,470","Bachelor's degree"
="19-1023","Zoologists and Wildlife Biologists","470","$86,590","$91,500","$65,540","$104,280","Bachelor's degree"
="19-1029","Biological Scientists, All Other","2,770","$96,610","$102,230","$64,440","$120,850","Bachelor's degree"
="19-1031","Conservation Scientists","750","$72,010","$76,140","$50,020","$89,010","Bachelor's degree"
="19-1032","Foresters","310","$67,720","$68,900","$50,960","$77,730","Bachelor's degree"
="19-1041","Epidemiologists","580","$104,830","$114,300","$74,560","$133,870","Master's degree"
="19-1042","Medical Scientists, Except Epidemiologists","17,570","$127,310","$125,910","$82,610","$147,240","Doctoral or professional degree"
="19-1099","Life Scientists, All Other","240","$109,940","$116,360","$90,870","$128,920","Bachelor's degree"
="19-2011","Astronomers","60","$183,500","$158,030","$90,930","$191,070","Doctoral or professional degree"
="19-2012","Physicists","470","$149,990","$161,950","$111,750","$186,670","Doctoral or professional degree"
="19-2031","Chemists","4,340","$108,220","$116,980","$72,900","$138,690","Bachelor's degree"
="19-2032","Materials Scientists","550","$120,380","$120,420","$87,770","$136,500","Bachelor's degree"
="19-2041","Environmental Scientists and Specialists, Including Health","2,250","$100,360","$102,700","$63,090","$122,210","Bachelor's degree"
="19-2042","Geoscientists, Except Hydrologists and Geographers","200","$76,940","$99,630","$70,190","$114,120","Bachelor's degree"
="19-2043","Hydrologists","100","$131,350","$122,530","$87,270","$139,900","Bachelor's degree"
="19-2099","Physical Scientists, All Other","290","$125,550","$124,470","$81,360","$145,710","Bachelor's degree"
="19-3011","Economists","580","$134,750","$139,720","$84,510","$166,910","Master's degree"
="19-3033","Clinical and Counseling Psychologists","3,360","$95,780","$102,630","$51,860","$127,640","Doctoral or professional degree"
="19-3034","School Psychologists","1,800","$101,570","$104,180","$73,550","$119,260","Doctoral or professional degree"
="19-3039","Psychologists, All Other","480","$130,150","$122,690","$63,840","$151,680","Master's degree"
="19-3041","Sociologists","460","$135,820","$134,080","$86,980","$157,280","Master's degree"
="19-3051","Urban and Regional Planners","1,250","$85,250","$89,340","$64,660","$101,500","Master's degree"
="19-3091","Anthropologists and Archeologists","20","$110,780","$107,190","$85,590","$117,830","Master's degree"
="19-3092","Geographers","20","$118,160","$108,080","$80,810","$121,510","Bachelor's degree"
="19-3093","Historians","20","$93,160","$83,640","$49,550","$100,430","Master's degree"
="19-3094","Political Scientists","***","$127,260","$121,160","$70,350","$146,180","Master's degree"
="19-3099","Social Scientists and Related Workers, All Other","360","$104,920","$103,680","$72,960","$118,810","Bachelor's degree"
="19-4012","Agricultural Technicians","***","$82,000","$84,410","$63,720","$94,600","Associate's degree"
="19-4013","Food Science Technicians","120","$60,630","$60,990","$47,310","$67,720","Associate's degree"
="19-4021","Biological Technicians","6,920","$61,690","$65,740","$46,160","$75,380","Bachelor's degree"
="19-4031","Chemical Technicians","2,010","$61,570","$66,560","$49,100","$75,160","Associate's degree"
="19-4042","Environmental Science and Protection Technicians, Including Health","850","$48,580","$52,870","$37,330","$60,520","Associate's degree"
="19-4043","Geological Technicians, Except Hydrologic Technicians","***","$67,040","$70,610","$50,600","$80,460","Associate's degree"
="19-4061","Social Science Research Assistants","***","$59,210","$59,230","$43,280","$67,080","Bachelor's degree"
="19-4071","Forest and Conservation Technicians","80","$45,790","$48,330","$32,490","$56,130","Associate's degree"
="19-4092","Forensic Science Technicians","120","$70,220","$82,520","$56,750","$95,220","Bachelor's degree"
="19-4099","Life, Physical, and Social Science Technicians, All Other","***","$79,740","$82,790","$47,180","$100,330","Associate's degree"
="19-5011","Occupational Health and Safety Specialists","2,570","$88,090","$95,790","$67,340","$109,810","Bachelor's degree"
="19-5012","Occupational Health and Safety Technicians","310","$64,960","$74,240","$47,770","$87,280","High school diploma or equivalent"
="21-0000","Community and Social Service Occupations","80,770","$58,870","$62,590","$40,800","$73,320","No formal educational credential"
="21-1012","Educational, Guidance, School, and Vocational Counselors","9,990","$76,880","$79,670","$52,410","$93,100","Master's degree"
="21-1013","Marriage and Family Therapists","620","$66,470","$71,880","$46,340","$84,460","Master's degree"
="21-1015","Rehabilitation Counselors","5,350","$50,890","$57,140","$37,550","$66,790","Master's degree"
="21-1018","Substance Abuse, Behavioral Disorder, and Mental Health Counselors","17,290","$54,920","$58,720","$42,360","$66,780","No formal educational credential"
="21-1019","Counselors, All Other","200","$63,480","$66,180","$41,880","$78,150","Master's degree"
="21-1021","Child, Family, and School Social Workers","10,380","$61,970","$64,750","$43,980","$74,980","Bachelor's degree"
="21-1022","Healthcare Social Workers","8,120","$64,860","$69,770","$49,570","$79,720","Master's degree"
="21-1023","Mental Health and Substance Abuse Social Workers","5,460","$61,760","$64,810","$44,810","$74,660","Bachelor's degree"
="21-1029","Social Workers, All Other","620","$82,910","$81,530","$55,550","$94,330","Bachelor's degree"
="21-1091","Health Educators","1,580","$67,920","$76,790","$46,410","$91,750","Bachelor's degree"
="21-1092","Probation Officers and Correctional Treatment Specialists","1,350","$88,110","$82,700","$62,180","$92,800","Bachelor's degree"
="21-1093","Social and Human Service Assistants","15,150","$44,200","$48,460","$34,910","$55,130","High school diploma or equivalent"
="21-1094","Community Health Workers","2,170","$50,300","$55,090","$39,860","$62,600","High school diploma or equivalent"
="21-1099","Community and Social Service Specialists, All Other","1,660","$52,500","$57,410","$38,900","$66,530","Master's degree"
="21-2011","Clergy","770","$68,080","$67,620","$49,550","$76,530","Bachelor's degree"
="21-2021","Directors, Religious Activities and Education","***","$73,150","$72,780","$45,000","$86,460","Bachelor's degree"
="21-2099","Religious Workers, All Other","40","$39,730","$46,570","$36,960","$51,300","Bachelor's degree"
="23-0000","Legal Occupations","31,810","$112,580","$155,780","$64,600","$200,690","No formal educational credential"
="23-1011","Lawyers","21,770","$148,370","$188,960","$84,390","$240,470","Doctoral or professional degree"
="23-1012","Judicial Law Clerks","***","$59,260","$83,590","$42,130","$104,010","Doctoral or professional degree"
="23-1021","Administrative Law Judges, Adjudicators, and Hearing Officers","100","$125,550","$132,350","$83,210","$156,550","Doctoral or professional degree"
="23-1023","Judges, Magistrate Judges, and Magistrates","***","$207,850","$191,330","$156,070","$208,700","Doctoral or professional degree"
="23-2011","Paralegals and Legal Assistants","7,520","$70,570","$74,710","$52,190","$85,800","Associate's degree"
="23-2093","Title Examiners, Abstractors, and Searchers","***","$58,980","$71,350","$51,410","$81,170","High school diploma or equivalent"
="23-2099","Legal Support Workers, All Other","450","$88,280","$90,170","$48,080","$110,900","High school diploma or equivalent"
="25-0000","Educational Instruction, and Library Occupations","244,290","$72,470","$80,050","$42,490","$98,540","No formal educational credential"
="25-1011","Business Teachers, Postsecondary","4,400","$100,950","$123,590","$61,990","$153,930","Doctoral or professional degree"
="25-1021","Computer Science Teachers, Postsecondary","1,440","$111,110","$125,000","$68,690","$152,740","Doctoral or professional degree"
="25-1022","Mathematical Science Teachers, Postsecondary","1,410","$87,420","$104,890","$61,910","$126,060","Doctoral or professional degree"
="25-1031","Architecture Teachers, Postsecondary","440","$93,810","$104,840","$57,130","$128,340","Doctoral or professional degree"
="25-1032","Engineering Teachers, Postsecondary","1,530","$103,660","$128,850","$69,860","$157,910","Doctoral or professional degree"
="25-1041","Agricultural Sciences Teachers, Postsecondary","90","$69,530","$85,950","$56,530","$100,440","Doctoral or professional degree"
="25-1042","Biological Science Teachers, Postsecondary","***","$84,260","$105,870","$59,690","$128,620","Doctoral or professional degree"
="25-1043","Forestry and Conservation Science Teachers, Postsecondary","***","$82,590","$82,410","$74,970","$86,070","Doctoral or professional degree"
="25-1051","Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary","430","$110,240","$129,460","$71,810","$157,860","Doctoral or professional degree"
="25-1052","Chemistry Teachers, Postsecondary","730","$100,210","$114,630","$68,010","$137,590","Doctoral or professional degree"
="25-1053","Environmental Science Teachers, Postsecondary","260","$97,430","$102,770","$64,190","$121,770","Doctoral or professional degree"
="25-1054","Physics Teachers, Postsecondary","560","$104,090","$125,880","$65,610","$155,560","Doctoral or professional degree"
="25-1061","Anthropology and Archeology Teachers, Postsecondary","200","$114,210","$123,590","$74,750","$147,650","Doctoral or professional degree"
="25-1062","Area, Ethnic, and Cultural Studies Teachers, Postsecondary","750","$96,880","$107,390","$64,220","$128,660","Doctoral or professional degree"
="25-1063","Economics Teachers, Postsecondary","790","$134,310","$157,840","$87,240","$192,620","Doctoral or professional degree"
="25-1064","Geography Teachers, Postsecondary","110","$105,210","$107,150","$71,440","$124,740","Doctoral or professional degree"
="25-1065","Political Science Teachers, Postsecondary","950","$105,690","$121,350","$69,190","$147,040","Doctoral or professional degree"
="25-1066","Psychology Teachers, Postsecondary","1,600","$84,700","$104,100","$60,840","$125,400","Doctoral or professional degree"
="25-1067","Sociology Teachers, Postsecondary","810","$92,140","$104,220","$61,660","$125,180","Doctoral or professional degree"
="25-1069","Social Sciences Teachers, Postsecondary, All Other","260","$76,480","$81,920","$56,820","$94,270","Doctoral or professional degree"
="25-1071","Health Specialties Teachers, Postsecondary","9,990","$129,330","$138,270","$73,830","$170,010","Doctoral or professional degree"
="25-1072","Nursing Instructors and Teachers, Postsecondary","2,390","$82,250","$87,140","$54,820","$103,060","Master's degree"
="25-1081","Education Teachers, Postsecondary","2,240","$81,950","$93,270","$52,660","$113,270","Doctoral or professional degree"
="25-1082","Library Science Teachers, Postsecondary","60","$86,280","$80,520","$57,460","$91,880","Doctoral or professional degree"
="25-1111","Criminal Justice and Law Enforcement Teachers, Postsecondary","360","$94,750","$104,910","$62,630","$125,730","Doctoral or professional degree"
="25-1112","Law Teachers, Postsecondary","1,060","$163,770","$168,370","$84,810","$209,520","Doctoral or professional degree"
="25-1113","Social Work Teachers, Postsecondary","410","$86,050","$95,220","$57,240","$113,920","Doctoral or professional degree"
="25-1121","Art, Drama, and Music Teachers, Postsecondary","5,130","$80,000","$92,040","$49,330","$113,070","Master's degree"
="25-1122","Communications Teachers, Postsecondary","1,010","$88,750","$96,730","$59,670","$114,990","Doctoral or professional degree"
="25-1123","English Language and Literature Teachers, Postsecondary","2,500","$83,050","$97,340","$60,700","$115,390","Doctoral or professional degree"
="25-1124","Foreign Language and Literature Teachers, Postsecondary","1,110","$96,200","$102,930","$65,190","$121,520","Doctoral or professional degree"
="25-1125","History Teachers, Postsecondary","890","$102,540","$113,430","$66,900","$136,340","Doctoral or professional degree"
="25-1126","Philosophy and Religion Teachers, Postsecondary","800","$101,770","$117,520","$66,010","$142,900","Doctoral or professional degree"
="25-1193","Recreation and Fitness Studies Teachers, Postsecondary","350","$80,400","$82,350","$56,120","$95,270","Doctoral or professional degree"
="25-1194","Career-Technical Education Teachers, Postsecondary","1,380","$70,430","$75,160","$49,640","$87,730","Bachelor's degree"
="25-1199","Postsecondary Teachers, All Other","3,740","$82,940","$98,750","$54,980","$120,320","Doctoral or professional degree"
="25-2011","Preschool Teachers, Except Special Education","15,320","$44,410","$46,330","$36,440","$51,200","Associate's degree"
="25-2012","Kindergarten Teachers, Except Special Education","2,250","$85,820","$88,800","$58,820","$103,560","Bachelor's degree"
="25-2021","Elementary School Teachers, Except Special Education","33,780","$83,350","$85,650","$57,840","$99,360","Bachelor's degree"
="25-2022","Middle School Teachers, Except Special and Career/Technical Education","14,720","$84,570","$87,930","$60,390","$101,490","Bachelor's degree"
="25-2023","Career/Technical Education Teachers, Middle School","80","$80,380","$77,800","$54,160","$89,440","Bachelor's degree"
="25-2031","Secondary School Teachers, Except Special and Career/Technical Education","26,630","$83,340","$87,000","$59,910","$100,350","Bachelor's degree"
="25-2032","Career/Technical Education Teachers, Secondary School","2,970","$86,370","$89,900","$68,350","$100,520","Bachelor's degree"
="25-2051","Special Education Teachers, Preschool","610","$83,490","$91,110","$58,590","$107,140","Bachelor's degree"
="25-2052","Special Education Teachers, Kindergarten and Elementary School","6,130","$82,390","$84,780","$59,250","$97,360","Bachelor's degree"
="25-2057","Special Education Teachers, Middle School","2,330","$84,070","$87,730","$59,090","$101,830","Bachelor's degree"
="25-2058","Special Education Teachers, Secondary School","3,530","$84,120","$87,400","$61,010","$100,390","Bachelor's degree"
="25-2059","Special Education Teachers, All Other","2,010","$81,650","$88,380","$56,270","$104,190","Bachelor's degree"
="25-3011","Adult Basic and Secondary Education and Literacy Teachers and Instructors","1,520","$62,350","$67,360","$46,360","$77,700","Bachelor's degree"
="25-3021","Self-Enrichment Education Teachers","9,530","$60,680","$65,730","$36,810","$79,980","High school diploma or equivalent"
="25-3031","Substitute Teachers, Short-Term","6,270","$38,160","$44,940","$32,300","$51,160","Bachelor's degree"
="25-3041","Tutors","4,790","$64,600","$65,610","$36,990","$79,710","High school diploma or equivalent"
="25-3099","Teachers and Instructors, All Other","3,890","$78,730","$93,240","$52,740","$113,180","Bachelor's degree"
="25-4011","Archivists","290","$74,860","$76,840","$51,000","$89,560","Master's degree"
="25-4012","Curators","480","$70,710","$76,160","$40,740","$93,600","Master's degree"
="25-4013","Museum Technicians and Conservators","510","$66,960","$69,550","$43,210","$82,520","Bachelor's degree"
="25-4022","Librarians and Media Collections Specialists","5,200","$76,670","$76,810","$50,440","$89,800","Master's degree"
="25-4031","Library Technicians","1,960","$49,850","$52,170","$37,940","$59,190","Postsecondary non-degree award"
="25-9031","Instructional Coordinators","4,780","$83,740","$87,270","$56,130","$102,610","Master's degree"
="25-9044","Teaching Assistants, Postsecondary","4,310","$52,730","$51,860","$36,580","$59,390","Bachelor's degree"
="25-9045","Teaching Assistants, Except Postsecondary","35,380","$40,210","$43,620","$34,250","$48,240","Some college, no degree"
="25-9099","Education, Training, and Library Workers, All Other","1,260","$61,720","$66,410","$42,330","$78,280","Bachelor's degree"
="27-0000","Arts, Design, Entertainment, Sports, and Media Occupations","49,920","$65,760","$81,700","$41,680","$101,410","No formal educational credential"
="27-1011","Art Directors","1,160","$107,130","$125,530","$72,270","$151,770","Bachelor's degree"
="27-1012","Craft Artists","50","$34,560","$38,670","$32,480","$41,710","No formal educational credential"
