"Occupational Employment and Wage Statistics"

"Selection Criteria Used"
"Area:","Massachusetts"
"Time Period:","May 2023"
"Occupation:"," Total, All Occupations"

"SOC Code","Occupation Title","Employment","Median Annual","Mean Annual","Entry Annual","Experienced Annual","Typical education needed for entry"
="43-9041","Insurance Claims and Policy Processing Clerks","5,270","$54,770","$55,950","$44,240","$61,720","High school diploma or equivalent"
="43-9051","Mail Clerks and Mail Machine Operators, Except Postal Service","820","$44,540","$44,900","$35,560","$49,500","High school diploma or equivalent"
="43-9061","Office Clerks, General","53,740","$48,200","$51,480","$36,310","$58,950","High school diploma or equivalent"
="43-9071","Office Machine Operators, Except Computer","440","$44,840","$46,460","$37,590","$50,830","High school diploma or equivalent"
="43-9081","Proofreaders and Copy Markers","***","$52,000","$52,360","$46,500","$55,250","Bachelor's degree"
="43-9111","Statistical Assistants","240","$65,040","$62,570","$51,740","$67,910","Bachelor's degree"
="43-9199","Office and Administrative Support Workers, All Other","1,560","$50,360","$55,460","$33,080","$66,480","High school diploma or equivalent"
="45-0000","Farming, Fishing, and Forestry Occupations","2,630","$42,300","$46,490","$35,250","$52,030","No formal educational credential"
="45-1011","First-Line Supervisors of Farming, Fishing, and Forestry Workers","360","$54,880","$61,700","$42,280","$71,270","High school diploma or equivalent"
="45-2092","Farmworkers and Laborers, Crop, Nursery, and Greenhouse","1,210","$38,790","$41,700","$34,220","$45,390","No formal educational credential"
="45-2093","Farmworkers, Farm, Ranch, and Aquacultural Animals","480","$37,960","$42,560","$35,140","$46,210","No formal educational credential"
="45-4011","Forest and Conservation Workers","80","$39,110","$40,050","$32,800","$43,620","High school diploma or equivalent"
="45-4022","Logging Equipment Operators","***","$46,800","$46,120","$38,220","$50,010","High school diploma or equivalent"
="47-0000","Construction and Extraction Occupations","136,120","$76,150","$79,120","$48,630","$94,140","No formal educational credential"
="47-1011","First-Line Supervisors of Construction Trades and Extraction Workers","20,720","$97,670","$99,110","$69,170","$113,850","High school diploma or equivalent"
="47-2011","Boilermakers","***","$98,320","$100,050","$87,950","$106,020","High school diploma or equivalent"
="47-2021","Brickmasons and Blockmasons","1,290","$85,660","$88,150","$60,090","$101,980","High school diploma or equivalent"
="47-2022","Stonemasons","1,040","$59,480","$61,250","$49,770","$66,910","High school diploma or equivalent"
="47-2031","Carpenters","16,640","$66,270","$74,900","$49,650","$87,340","High school diploma or equivalent"
="47-2041","Carpet Installers","200","$61,050","$68,680","$51,090","$77,340","No formal educational credential"
="47-2042","Floor Layers, Except Carpet, Wood, and Hard Tiles","600","$74,960","$80,500","$50,270","$95,380","No formal educational credential"
="47-2044","Tile and Marble Setters","350","***","***","***","***","No formal educational credential"
="47-2051","Cement Masons and Concrete Finishers","1,800","$78,250","$82,770","$55,770","$96,080","No formal educational credential"
="47-2061","Construction Laborers","18,280","$61,240","$67,780","$44,160","$79,420","No formal educational credential"
="47-2071","Paving, Surfacing, and Tamping Equipment Operators","1,190","$54,690","$64,430","$46,060","$73,470","High school diploma or equivalent"
="47-2072","Pile-Driver Operators","100","$107,270","$98,570","$71,330","$111,990","High school diploma or equivalent"
="47-2073","Operating Engineers and Other Construction Equipment Operators","9,430","$68,640","$78,530","$53,210","$91,000","High school diploma or equivalent"
="47-2081","Drywall and Ceiling Tile Installers","1,300","$66,470","$62,260","$44,130","$71,180","No formal educational credential"
="47-2082","Tapers","430","$97,310","$86,600","$57,830","$100,770","No formal educational credential"
="47-2111","Electricians","19,140","$81,170","$81,840","$50,930","$97,070","High school diploma or equivalent"
="47-2121","Glaziers","1,060","$63,300","$70,130","$49,470","$80,310","High school diploma or equivalent"
="47-2131","Insulation Workers, Floor, Ceiling, and Wall","950","$52,930","$60,490","$38,490","$71,330","No formal educational credential"
="47-2132","Insulation Workers, Mechanical","230","$64,630","$64,730","$45,820","$74,040","High school diploma or equivalent"
="47-2141","Painters, Construction and Maintenance","3,890","$50,670","$56,490","$38,390","$65,410","No formal educational credential"
="47-2151","Pipelayers","120","$56,870","$66,260","$47,170","$75,660","No formal educational credential"
="47-2152","Plumbers, Pipefitters, and Steamfitters","15,710","$91,380","$89,140","$51,000","$107,930","High school diploma or equivalent"
="47-2161","Plasterers and Stucco Masons","290","$82,150","$83,940","$60,000","$95,730","No formal educational credential"
="47-2181","Roofers","2,450","$69,310","$72,390","$48,850","$83,980","No formal educational credential"
="47-2211","Sheet Metal Workers","***","$73,930","$77,430","$51,310","$90,290","High school diploma or equivalent"
="47-2221","Structural Iron and Steel Workers","***","$109,120","$97,520","$63,740","$114,160","High school diploma or equivalent"
="47-2231","Solar Photovoltaic Installers","700","$50,990","$48,480","$35,920","$54,660","High school diploma or equivalent"
="47-3011","Helpers--Brickmasons, Blockmasons, Stonemasons, and Tile and Marble Setters","120","$52,370","$49,710","$41,640","$53,690","No formal educational credential"
="47-3012","Helpers--Carpenters","370","$36,160","$40,100","$32,100","$44,030","No formal educational credential"
="47-3013","Helpers--Electricians","1,500","$44,980","$46,510","$38,700","$50,360","High school diploma or equivalent"
="47-3015","Helpers--Pipelayers, Plumbers, Pipefitters, and Steamfitters","***","$45,500","$45,720","$38,690","$49,180","High school diploma or equivalent"
="47-3019","Helpers, Construction Trades, All Other","210","$43,740","$48,540","$36,640","$54,400","No formal educational credential"
="47-4011","Construction and Building Inspectors","3,210","$84,010","$84,030","$55,470","$98,100","High school diploma or equivalent"
="47-4021","Elevator Installers and Repairers","600","$142,670","$126,830","$96,700","$141,660","High school diploma or equivalent"
="47-4031","Fence Erectors","590","$47,440","$48,610","$40,160","$52,770","No formal educational credential"
="47-4041","Hazardous Materials Removal Workers","3,050","$46,950","$55,000","$43,360","$60,730","High school diploma or equivalent"
="47-4051","Highway Maintenance Workers","1,310","$61,150","$59,690","$46,220","$66,320","High school diploma or equivalent"
="47-4061","Rail-Track Laying and Maintenance Equipment Operators","430","$77,840","$76,430","$62,930","$83,070","High school diploma or equivalent"
="47-4071","Septic Tank Servicers and Sewer Pipe Cleaners","330","$59,120","$64,070","$48,060","$71,950","No formal educational credential"
="47-4090","Miscellaneous Construction and Related Workers","360","$85,340","$76,070","$53,060","$87,410","No formal educational credential"
="47-5022","Excavating and Loading Machine and Dragline Operators, Surface Mining","230","$62,780","$64,160","$45,840","$73,180","High school diploma or equivalent"
="47-5023","Earth Drillers, Except Oil and Gas","430","$77,240","$76,120","$63,450","$82,370","High school diploma or equivalent"
="47-5032","Explosives Workers, Ordnance Handling Experts, and Blasters","***","$85,700","$84,590","$71,340","$91,110","High school diploma or equivalent"
="47-5051","Rock Splitters, Quarry","100","$61,990","$58,890","$43,110","$66,670","No formal educational credential"
="49-0000","Installation, Maintenance, and Repair Occupations","106,130","$62,000","$66,670","$42,520","$78,570","No formal educational credential"
="49-1011","First-Line Supervisors of Mechanics, Installers, and Repairers","12,860","$83,970","$89,250","$61,300","$103,020","High school diploma or equivalent"
="49-2011","Computer, Automated Teller, and Office Machine Repairers","1,360","$49,320","$50,380","$39,030","$55,970","Some college, no degree"
="49-2021","Radio, Cellular, and Tower Equipment Installers and Repairs","180","$72,590","$72,740","$55,480","$81,240","Associate's degree"
="49-2022","Telecommunications Equipment Installers and Repairers, Except Line Installers","2,840","$76,560","$78,120","$56,840","$88,610","Postsecondary non-degree award"
="49-2091","Avionics Technicians","40","$82,420","$80,930","$76,620","$83,060","Associate's degree"
="49-2092","Electric Motor, Power Tool, and Related Repairers","***","$59,340","$59,130","$46,120","$65,530","Postsecondary non-degree award"
="49-2093","Electrical and Electronics Installers and Repairers, Transportation Equipment","90","$96,030","$89,280","$64,300","$101,590","Postsecondary non-degree award"
="49-2094","Electrical and Electronics Repairers, Commercial and Industrial Equipment","860","$78,350","$78,400","$54,410","$90,210","Postsecondary non-degree award"
="49-2095","Electrical and Electronics Repairers, Powerhouse, Substation, and Relay","220","$102,920","$102,950","$93,620","$107,550","Postsecondary non-degree award"
="49-2096","Electronic Equipment Installers and Repairers, Motor Vehicles","80","$47,630","$49,430","$40,900","$53,640","Postsecondary non-degree award"
="49-2097","Audiovisual Equipment Installers and Repairers","300","$48,410","$48,110","$42,510","$50,870","Postsecondary non-degree award"
="49-2098","Security and Fire Alarm Systems Installers","2,290","$62,160","$66,520","$45,050","$77,090","High school diploma or equivalent"
="49-3011","Aircraft Mechanics and Service Technicians","1,560","$82,420","$87,080","$63,810","$98,530","Postsecondary non-degree award"
="49-3021","Automotive Body and Related Repairers","3,390","$60,750","$57,850","$40,020","$66,630","High school diploma or equivalent"
="49-3022","Automotive Glass Installers and Repairers","280","$51,510","$51,640","$42,340","$56,220","High school diploma or equivalent"
="49-3023","Automotive Service Technicians and Mechanics","13,920","$49,610","$55,720","$38,740","$64,090","Postsecondary non-degree award"
="49-3031","Bus and Truck Mechanics and Diesel Engine Specialists","3,750","$65,220","$68,030","$52,770","$75,540","High school diploma or equivalent"
="49-3041","Farm Equipment Mechanics and Service Technicians","100","$58,100","$57,720","$41,890","$65,520","High school diploma or equivalent"
="49-3042","Mobile Heavy Equipment Mechanics, Except Engines","2,500","$75,470","$73,090","$53,590","$82,700","High school diploma or equivalent"
="49-3043","Rail Car Repairers","880","$94,290","$90,060","$76,420","$96,780","High school diploma or equivalent"
="49-3051","Motorboat Mechanics and Service Technicians","840","$62,250","$64,410","$48,550","$72,220","High school diploma or equivalent"
="49-3052","Motorcycle Mechanics","140","$50,920","$49,500","$35,460","$56,420","Postsecondary non-degree award"
="49-3053","Outdoor Power Equipment and Other Small Engine Mechanics","410","$55,430","$54,120","$39,430","$61,350","High school diploma or equivalent"
="49-3091","Bicycle Repairers","600","$42,910","$40,650","$33,240","$44,300","High school diploma or equivalent"
="49-3092","Recreational Vehicle Service Technicians","430","$59,050","$56,550","$43,500","$62,980","High school diploma or equivalent"
="49-3093","Tire Repairers and Changers","1,010","$35,910","$37,460","$33,300","$39,510","High school diploma or equivalent"
="49-9011","Mechanical Door Repairers","300","$63,790","$65,710","$52,190","$72,360","High school diploma or equivalent"
="49-9012","Control and Valve Installers and Repairers, Except Mechanical Door","540","$60,330","$65,100","$45,560","$74,730","High school diploma or equivalent"
="49-9021","Heating, Air Conditioning, and Refrigeration Mechanics and Installers","7,410","$73,700","$75,190","$51,740","$86,740","Postsecondary non-degree award"
="49-9031","Home Appliance Repairers","660","$57,830","$56,730","$46,420","$61,800","High school diploma or equivalent"
="49-9041","Industrial Machinery Mechanics","5,890","$67,470","$71,640","$52,020","$81,300","High school diploma or equivalent"
="49-9043","Maintenance Workers, Machinery","420","$60,840","$65,310","$38,120","$78,710","High school diploma or equivalent"
="49-9044","Millwrights","140","$74,590","$78,540","$57,720","$88,790","High school diploma or equivalent"
="49-9051","Electrical Power-Line Installers and Repairers","1,850","$100,720","$97,160","$74,640","$108,250","High school diploma or equivalent"
="49-9052","Telecommunications Line Installers and Repairers","2,650","$98,590","$92,290","$74,120","$101,240","High school diploma or equivalent"
="49-9061","Camera and Photographic Equipment Repairers","***","$52,760","$55,140","$47,800","$58,760","Associate's degree"
="49-9062","Medical Equipment Repairers","1,420","$68,620","$73,160","$48,350","$85,380","Associate's degree"
="49-9063","Musical Instrument Repairers and Tuners","***","$58,930","$55,800","$44,290","$61,470","High school diploma or equivalent"
="49-9069","Precision Instrument and Equipment Repairers, All Other","***","$62,560","$64,430","$45,620","$73,700","High school diploma or equivalent"
="49-9071","Maintenance and Repair Workers, General","27,980","$52,950","$56,250","$39,390","$64,550","High school diploma or equivalent"
="49-9091","Coin, Vending, and Amusement Machine Servicers and Repairers","250","$59,930","$56,670","$44,280","$62,770","High school diploma or equivalent"
="49-9094","Locksmiths and Safe Repairers","380","$61,000","$61,490","$45,770","$69,230","High school diploma or equivalent"
="49-9096","Riggers","310","$76,420","$74,450","$50,850","$86,080","High school diploma or equivalent"
="49-9097","Signal and Track Switch Repairers","170","$93,690","$85,220","$65,120","$95,120","High school diploma or equivalent"
="49-9098","Helpers--Installation, Maintenance, and Repair Workers","1,410","$34,830","$40,940","$32,530","$45,080","High school diploma or equivalent"
="49-9099","Installation, Maintenance, and Repair Workers, All Other","2,610","$50,140","$55,170","$41,650","$61,840","High school diploma or equivalent"
="51-0000","Production Occupations","147,500","$46,950","$51,820","$35,650","$59,780","No formal educational credential"
="51-1011","First-Line Supervisors of Production and Operating Workers","14,060","$75,140","$76,650","$51,090","$89,240","High school diploma or equivalent"
="51-2021","Coil Winders, Tapers, and Finishers","140","$39,170","$44,100","$35,790","$48,200","High school diploma or equivalent"
="51-2028","Electrical and Electromechanical Equipment Assemblers except coil winders, tapers and finishers","10,380","$46,330","$47,190","$37,450","$51,990","No formal educational credential"
="51-2031","Engine and Other Machine Assemblers","220","$54,860","$53,940","$39,300","$61,150","High school diploma or equivalent"
="51-2041","Structural Metal Fabricators and Fitters","1,050","$60,130","$58,920","$44,400","$66,060","High school diploma or equivalent"
="51-2051","Fiberglass Laminators and Fabricators","310","$44,760","$49,200","$36,920","$55,250","High school diploma or equivalent"
="51-2090","Miscellaneous Assemblers and Fabricators","15,130","$40,990","$44,150","$34,440","$48,940","No formal educational credential"
="51-3011","Bakers","4,900","$38,090","$41,450","$33,950","$45,140","No formal educational credential"
="51-3021","Butchers and Meat Cutters","1,700","$47,840","$49,710","$35,960","$56,490","No formal educational credential"
="51-3022","Meat, Poultry, and Fish Cutters and Trimmers","2,080","$32,960","$36,860","$31,870","$39,310","No formal educational credential"
="51-3023","Slaughterers and Meat Packers","80","$35,200","$39,280","$34,270","$41,750","No formal educational credential"
="51-3091","Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders","350","$46,200","$45,010","$36,170","$49,360","No formal educational credential"
="51-3092","Food Batchmakers","5,650","$35,200","$37,700","$32,170","$40,420","High school diploma or equivalent"
="51-3093","Food Cooking Machine Operators and Tenders","310","$40,940","$40,080","$34,550","$42,800","High school diploma or equivalent"
="51-3099","Food Processing Workers, All Other","300","$41,390","$41,150","$35,890","$43,750","No formal educational credential"
="51-4021","Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic","1,180","$47,250","$47,040","$38,020","$51,480","High school diploma or equivalent"
="51-4022","Forging Machine Setters, Operators, and Tenders, Metal and Plastic","90","$47,660","$49,350","$42,670","$52,640","High school diploma or equivalent"
="51-4023","Rolling Machine Setters, Operators, and Tenders, Metal and Plastic","400","$47,340","$48,710","$39,720","$53,130","High school diploma or equivalent"
="51-4031","Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic","2,980","$42,950","$44,800","$35,830","$49,220","High school diploma or equivalent"
="51-4032","Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic","40","$78,000","$70,590","$57,450","$77,060","High school diploma or equivalent"
="51-4033","Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic","2,090","$45,850","$49,050","$38,250","$54,370","High school diploma or equivalent"
="51-4034","Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic","280","$61,170","$60,570","$46,270","$67,620","High school diploma or equivalent"
="51-4035","Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic","250","$54,230","$54,900","$37,830","$63,300","High school diploma or equivalent"
="51-4041","Machinists","8,020","$61,290","$62,160","$45,290","$70,470","High school diploma or equivalent"
="51-4051","Metal-Refining Furnace Operators and Tenders","170","$44,790","$49,360","$40,640","$53,660","High school diploma or equivalent"
="51-4052","Pourers and Casters, Metal","***","$56,090","$56,620","$51,340","$59,210","High school diploma or equivalent"
="51-4061","Model Makers, Metal and Plastic","170","$70,930","$72,210","$54,390","$80,980","High school diploma or equivalent"
="51-4062","Patternmakers, Metal and Plastic","***","$37,810","$41,150","$34,970","$44,190","High school diploma or equivalent"
="51-4071","Foundry Mold and Coremakers","120","$46,100","$44,550","$37,830","$47,870","High school diploma or equivalent"
="51-4072","Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic","4,700","$37,790","$41,290","$34,080","$44,840","High school diploma or equivalent"
="51-4081","Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic","1,740","$46,790","$47,670","$37,190","$52,830","High school diploma or equivalent"
="51-4111","Tool and Die Makers","1,000","$67,790","$67,700","$52,070","$75,400","High school diploma or equivalent"
="51-4121","Welders, Cutters, Solderers, and Brazers","3,770","$59,330","$61,300","$45,340","$69,160","High school diploma or equivalent"
="51-4122","Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders","670","$47,200","$47,890","$36,690","$53,400","High school diploma or equivalent"
="51-4191","Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic","170","$50,850","$52,130","$39,020","$58,590","High school diploma or equivalent"
="51-4192","Layout Workers, Metal and Plastic","80","$55,370","$50,550","$35,020","$58,190","High school diploma or equivalent"
="51-4193","Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic","1,110","$40,550","$43,850","$35,300","$48,060","High school diploma or equivalent"
="51-4194","Tool Grinders, Filers, and Sharpeners","***","$51,630","$51,870","$46,360","$54,580","High school diploma or equivalent"
="51-4199","Metal Workers and Plastic Workers, All Other","90","$52,580","$54,380","$41,160","$60,900","High school diploma or equivalent"
="51-5111","Prepress Technicians and Workers","390","$52,590","$54,130","$41,000","$60,590","Postsecondary non-degree award"
="51-5112","Printing Press Operators","2,390","$48,410","$50,520","$38,710","$56,350","High school diploma or equivalent"
="51-5113","Print Binding and Finishing Workers","630","$42,120","$44,250","$34,670","$48,970","High school diploma or equivalent"
="51-6011","Laundry and Dry-Cleaning Workers","4,420","$34,440","$35,490","$31,800","$37,310","No formal educational credential"
="51-6021","Pressers, Textile, Garment, and Related Materials","250","$38,730","$41,440","$33,760","$45,230","No formal educational credential"
="51-6031","Sewing Machine Operators","1,920","$37,210","$39,700","$32,830","$43,090","No formal educational credential"
="51-6041","Shoe and Leather Workers and Repairers","360","$44,860","$42,660","$33,330","$47,260","High school diploma or equivalent"
="51-6051","Sewers, Hand","40","$35,500","$38,330","$34,050","$40,440","No formal educational credential"
="51-6052","Tailors, Dressmakers, and Custom Sewers","760","$44,240","$43,830","$41,330","$45,050","No formal educational credential"
="51-6061","Textile Bleaching and Dyeing Machine Operators and Tenders","180","$46,950","$47,270","$43,020","$49,370","High school diploma or equivalent"
="51-6062","Textile Cutting Machine Setters, Operators, and Tenders","180","$39,390","$41,580","$36,240","$44,200","High school diploma or equivalent"
="51-6063","Textile Knitting and Weaving Machine Setters, Operators, and Tenders","100","$37,590","$38,430","$36,880","$39,200","High school diploma or equivalent"
="51-6064","Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders","120","$40,090","$39,980","$35,900","$41,980","High school diploma or equivalent"
="51-6091","Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers","***","$39,150","$40,230","$36,620","$42,000","High school diploma or equivalent"
="51-6092","Fabric and Apparel Patternmakers","40","$58,260","$55,410","$43,170","$61,440","High school diploma or equivalent"
="51-6093","Upholsterers","330","$44,630","$49,590","$38,040","$55,280","High school diploma or equivalent"
="51-6099","Textile, Apparel, and Furnishings Workers, All Other","60","$35,630","$43,950","$33,420","$49,140","High school diploma or equivalent"
="51-7011","Cabinetmakers and Bench Carpenters","1,670","$52,840","$55,210","$42,110","$61,660","High school diploma or equivalent"
="51-7021","Furniture Finishers","50","$60,300","$59,860","$50,010","$64,710","High school diploma or equivalent"
="51-7041","Sawing Machine Setters, Operators, and Tenders, Wood","140","$46,810","$47,180","$37,150","$52,120","High school diploma or equivalent"
="51-7042","Woodworking Machine Setters, Operators, and Tenders, Except Sawing","750","$40,950","$44,470","$35,660","$48,810","High school diploma or equivalent"
="51-7099","Woodworkers, All Other","***","$38,990","$42,070","$37,700","$44,210","High school diploma or equivalent"
="51-8013","Power Plant Operators","1,000","$96,880","$89,070","$57,840","$104,460","High school diploma or equivalent"
="51-8021","Stationary Engineers and Boiler Operators","720","$73,140","$73,670","$55,810","$82,460","High school diploma or equivalent"
="51-8031","Water and Wastewater Treatment Plant and System Operators","2,410","$64,340","$67,470","$51,820","$75,180","High school diploma or equivalent"
="51-8091","Chemical Plant and System Operators","230","$59,830","$71,620","$55,890","$79,360","High school diploma or equivalent"
="51-8093","Petroleum Pump System Operators, Refinery Operators, and Gaugers","20","$97,680","$91,800","$72,830","$101,150","High school diploma or equivalent"
="51-8099","Plant and System Operators, All Other","30","$87,960","$93,120","$79,100","$100,020","High school diploma or equivalent"
="51-9011","Chemical Equipment Operators and Tenders","2,040","$55,490","$57,550","$42,080","$65,170","High school diploma or equivalent"
="51-9012","Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders","700","$44,300","$45,650","$34,270","$51,260","High school diploma or equivalent"
="51-9021","Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders","430","$54,240","$55,340","$42,600","$61,610","High school diploma or equivalent"
="51-9022","Grinding and Polishing Workers, Hand","300","$42,290","$46,370","$37,370","$50,800","No formal educational credential"
="51-9023","Mixing and Blending Machine Setters, Operators, and Tenders","750","$51,240","$52,650","$40,890","$58,440","High school diploma or equivalent"
="51-9031","Cutters and Trimmers, Hand","110","$39,800","$39,780","$36,200","$41,550","No formal educational credential"
="51-9032","Cutting and Slicing Machine Setters, Operators, and Tenders","860","$42,920","$44,830","$36,470","$48,940","High school diploma or equivalent"
="51-9041","Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders","470","$42,970","$44,870","$37,130","$48,680","High school diploma or equivalent"
="51-9051","Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders","180","$57,950","$54,440","$39,400","$61,840","High school diploma or equivalent"
="51-9061","Inspectors, Testers, Sorters, Samplers, and Weighers","10,580","$50,640","$55,750","$39,620","$63,700","High school diploma or equivalent"
="51-9071","Jewelers and Precious Stone and Metal Workers","480","$53,240","$55,650","$36,380","$65,140","High school diploma or equivalent"
="51-9081","Dental Laboratory Technicians","230","$61,220","$62,180","$42,000","$72,110","High school diploma or equivalent"
="51-9082","Medical Appliance Technicians","180","$44,960","$48,970","$41,890","$52,450","High school diploma or equivalent"
="51-9083","Ophthalmic Laboratory Technicians","***","$46,370","$45,780","$38,430","$49,410","High school diploma or equivalent"
="51-9111","Packaging and Filling Machine Operators and Tenders","6,130","$36,790","$38,920","$32,310","$42,170","High school diploma or equivalent"
="51-9123","Painting, Coating, and Decorating Workers","210","$40,590","$44,250","$36,500","$48,060","No formal educational credential"
="51-9124","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","2,680","$46,730","$49,760","$36,390","$56,340","High school diploma or equivalent"
="51-9141","Semiconductor Processors","1,610","$50,210","$51,090","$40,290","$56,410","Associate's degree"
="51-9151","Photographic Process Workers and Processing Machine Operators","400","***","***","***","***","High school diploma or equivalent"
="51-9161","Computer Numerically Controlled Tool Operators","3,840","$59,020","$57,710","$45,290","$63,820","High school diploma or equivalent"
="51-9162","Computer Numerically Controlled Tool Programmers","660","$76,300","$73,390","$54,080","$82,900","Postsecondary non-degree award"
="51-9191","Adhesive Bonding Machine Operators and Tenders","70","$36,850","$42,640","$32,810","$47,490","High school diploma or equivalent"
="51-9192","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","190","$35,460","$38,030","$33,360","$40,320","No formal educational credential"
="51-9193","Cooling and Freezing Equipment Operators and Tenders","110","$45,450","$44,120","$35,740","$48,250","High school diploma or equivalent"
="51-9194","Etchers and Engravers","500","$38,930","$43,240","$35,040","$47,280","High school diploma or equivalent"
="51-9195","Molders, Shapers, and Casters, Except Metal and Plastic","1,240","$45,630","$46,150","$37,690","$50,320","High school diploma or equivalent"
="51-9196","Paper Goods Machine Setters, Operators, and Tenders","1,870","$47,360","$48,800","$39,830","$53,220","High school diploma or equivalent"
="51-9198","Helpers--Production Workers","***","$37,820","$39,760","$32,570","$43,290","No formal educational credential"
="51-9199","Production Workers, All Other","1,620","$60,000","$62,960","$41,140","$73,700","High school diploma or equivalent"
="53-0000","Transportation and Material Moving Occupations","231,240","$43,380","$50,080","$34,550","$57,730","No formal educational credential"
="53-1041","Aircraft Cargo Handling Supervisors","110","$81,910","$77,670","$58,500","$87,110","High school diploma or equivalent"
="53-1047","First-Line Supervisors of Transportation and Material-Moving Workers, Except Aircraft Cargo Handling Supervisors","10,490","$63,760","$67,230","$45,510","$77,930","High school diploma or equivalent"
="53-2012","Commercial Pilots","180","$83,870","$110,820","$54,690","$138,470","High school diploma or equivalent"
="53-2021","Air Traffic Controllers","130","$96,370","$117,580","$77,910","$137,130","Associate's degree"
="53-2031","Flight Attendants","3,570","$66,230","$65,980","$36,770","$80,370","High school diploma or equivalent"
="53-3011","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","150","$37,930","$40,650","$36,070","$42,900","High school diploma or equivalent"
="53-3031","Driver/Sales Workers","5,620","$35,610","$41,380","$32,320","$45,840","High school diploma or equivalent"
="53-3032","Heavy and Tractor-Trailer Truck Drivers","32,890","$58,960","$57,400","$43,730","$64,140","Postsecondary non-degree award"
="53-3033","Light Truck or Delivery Services Drivers","19,410","$44,810","$49,090","$34,860","$56,100","High school diploma or equivalent"
="53-3051","Bus Drivers, School","10,870","$58,530","$54,170","$40,420","$60,940","Less than high school"
="53-3052","Bus Drivers, Transit and Intercity","4,280","$61,150","$63,750","$46,650","$72,180","High school diploma or equivalent"
="53-3053","Shuttle Drivers and Chauffeurs","8,550","$37,620","$40,650","$35,420","$43,220","Less than high school"
="53-3054","Taxi Drivers","490","$35,890","$36,760","$34,550","$37,850","Less than high school"
="53-3099","Motor Vehicle Operators, All Other","1,260","$31,730","$38,500","$31,200","$42,090","No formal educational credential"
="53-4022","Railroad Brake, Signal, and Switch Operators and Locomotive Firers","320","$82,490","$82,160","$72,470","$86,930","High school diploma or equivalent"
="53-4031","Railroad Conductors and Yardmasters","***","$84,010","$82,220","$67,880","$89,280","High school diploma or equivalent"
="53-4041","Subway and Streetcar Operators","630","$84,820","$72,500","$45,850","$85,630","High school diploma or equivalent"
="53-5011","Sailors and Marine Oilers","270","$36,290","$43,360","$33,790","$48,070","No formal educational credential"
="53-5021","Captains, Mates, and Pilots of Water Vessels","560","$61,830","$71,130","$43,630","$84,670","Postsecondary non-degree award"
="53-5022","Motorboat Operators","130","$36,710","$45,730","$31,250","$52,860","Postsecondary non-degree award"
="53-5031","Ship Engineers","50","$96,180","$103,470","$73,900","$118,030","Postsecondary non-degree award"
="53-6011","Bridge and Lock Tenders","100","$34,110","$39,920","$32,260","$43,680","High school diploma or equivalent"
="53-6021","Parking Lot Attendants","3,640","$35,570","$35,480","$31,650","$37,360","No formal educational credential"
="53-6031","Automotive and Watercraft Service Attendants","2,010","$35,010","$37,510","$32,650","$39,900","No formal educational credential"
="53-6032","Aircraft Service Attendants","950","$42,140","$43,770","$41,330","$44,980","High school diploma or equivalent"
="53-6041","Traffic Technicians","50","$70,860","$78,950","$58,300","$89,130","High school diploma or equivalent"
="53-6051","Transportation Inspectors","450","$92,870","$90,630","$65,790","$102,860","High school diploma or equivalent"
="53-6061","Passenger Attendants, Except Flight Attendants","850","$36,470","$38,370","$33,870","$40,580","High school diploma or equivalent"
="53-6099","Transportation Workers, All Other","10","$104,240","$84,630","$48,830","$102,260","High school diploma or equivalent"
="53-7011","Conveyor Operators and Tenders","160","$38,220","$39,200","$35,650","$40,940","No formal educational credential"
="53-7021","Crane and Tower Operators","620","$88,970","$96,750","$59,530","$115,080","High school diploma or equivalent"
="53-7051","Industrial Truck and Tractor Operators","7,080","$46,480","$48,370","$40,770","$52,110","No formal educational credential"
="53-7061","Cleaners of Vehicles and Equipment","3,980","$37,060","$40,550","$33,260","$44,140","No formal educational credential"
="53-7062","Laborers and Freight, Stock, and Material Movers, Hand","37,620","$42,780","$44,630","$35,700","$49,030","No formal educational credential"
